"","Exporter","Importer","VoT","Quantity"
"1","AFG","ARE",8809821889.81383,101.400260254364
"2","AFG","SEN",93789,13
"3","AFG","COM",5814656083.25,10.88475
"4","AFG","TTO",7467292159.66667,3.59177777777778
"5","AFG","PHL",3597609956.31579,2.93152631578947
"6","AFG","MDG",19305,1.845
"7","AFG","RWA",6182520068.5,4.243
"8","AFG","LTU",5979421680.14286,9.11571428571429
"9","AFG","SYC",13727425019,0.700428571428571
"10","AFG","BLR",10294875166.7143,777.932714285714
"11","AFG","TUR",11616548792.1069,279.330087590006
"12","AFG","KHM",10314.2,4.0312
"13","AFG","BLZ",4547407753.33333,22.0376666666667
"14","AFG","CAN",6135143743.11966,1.64646890213875
"15","AFG","VEN",5161440278.68148,2.16520740740741
"16","AFG","LKA",11486132254.3333,16.2834953227971
"17","AFG","AUT",2133729481.94737,14.259350877193
"18","AFG","MKD",9115404330.85714,2.82571428571429
"19","AFG","EGY",8570210224.13889,181.059064770219
"20","AFG","COL",7163937830.72973,3.23662162162162
"21","AFG","LVA",619,18.0025
"22","AFG","BEN",817800914.071429,7.38135714285714
"23","AFG","IND",11626591484.3359,454.981265012492
"24","AFG","MDA",16524306162,1
"25","AFG","SDN",4407310787.19911,5.58762389380531
"26","AFG","BDI",887.5,0.5345
"27","AFG","ESP",6666927023.2069,9.3462178864023
"28","AFG","CYP",2774271395.16667,2.51133333333333
"29","AFG","CHL",18655.3333333333,0.750833333333333
"30","AFG","HND",3881554947.14493,10.713347826087
"31","AFG","BGR",3307610688.8,6.4836
"32","AFG","BRN",6418601349.5,0.8155
"33","AFG","KOR",5985526047.59524,7.94585714285714
"34","AFG","CMR",4110650106,6.098
"35","AFG","BOL",28634,8.421
"36","AFG","TUN",5295727824.58084,7.25613173652695
"37","AFG","KWT",16400660599.5455,10.2859090909091
"38","AFG","MLT",78565.5,11.1025
"39","AFG","AUS",10870672734.3594,4.82090304888281
"40","AFG","BIH",1536125411.36364,0.425
"41","AFG","MUS",21779309724.75,7.691625
"42","AFG","QAT",7221011912.40741,1.94474074074074
"43","AFG","JPN",6638280755.71875,30.5140641684109
"44","AFG","GIN",99119.5,4.195
"45","AFG","AZE",9046685926.83333,24.929
"46","AFG","PAK",15409923402.2119,2114.75601077906
"47","AFG","JAM",1593,0.323
"48","AFG","KNA",34283956944.5,3.81525
"49","AFG","EST",15337295888.2,1.2904
"50","AFG","KGZ",18489948286.3333,92.5799393939394
"51","AFG","AIA",5296762205,0.177
"52","AFG","ROU",7699138502.875,6.110375
"53","AFG","POL",12084265467.1829,7.80704410214634
"54","AFG","BEL",4403201421.47692,28.2032307692308
"55","AFG","ISL",3996.33333333333,0.179666666666667
"56","AFG","ATA",5648,0.05
"57","AFG","MNG",1006,0.124
"58","AFG","BGD",21596386736.0769,2384.621
"59","AFG","URY",8669377205,0.135
"60","AFG","TGO",1281455507,36.91
"61","AFG","SAU",11243428057.9221,28.9417196351948
"62","AFG","MAR",4649.66666666667,0.251
"63","AFG","PRT",5545.5,0.3615
"64","AFG","YEM",14359624526.5,49.34
"65","AFG","USA",9524519682.75394,71.6113340986647
"66","AFG","SVK",18033393906.625,11.544125
"67","AFG","GTM",3550085962.77273,2.29095454545455
"68","AFG","DZA",13988.8181818182,31.3898636363636
"69","AFG","DOM",9765557955.63277,41.1145189648305
"70","AFG","PYF",8019,0.881
"71","AFG","MWI",2314,0.03
"72","AFG","SYR",22024770788,439.365
"73","AFG","ALB",1334,0.045
"74","AFG","TJK",35786.2,926.154
"75","AFG","ETH",16707288316,8.3372
"76","AFG","MNE",23050212724.3333,0.543333333333333
"77","AFG","SLV",1455716575.56522,18.4469130434783
"78","AFG","GEO",2740.52941176471,0.196529411764706
"79","AFG","UGA",15642855861.875,9.0415
"80","AFG","ARG",7025058117.88889,15.9631111111111
"81","AFG","BFA",27070402623,16.63925
"82","AFG","THA",9956087916.44643,26.1605454230232
"83","AFG","CHE",2718929530.36585,1.00190243902439
"84","AFG","MEX",4386360817.56115,4.64031919386547
"85","AFG","NLD",4594385289.4557,5.68403411904557
"86","AFG","ECU",3290,0.1012
"87","AFG","SGP",4331864986.29545,158.895483766234
"88","AFG","BHR",7758278429.69444,21.2106944444444
"89","AFG","HKG",1622318590.75,1.176
"90","AFG","CPV",17186573491,1.909
"91","AFG","SRB",2146366230.08333,2.232
"92","AFG","FIN",8882531968.13158,119.948907894737
"93","AFG","TKM",308885.666666667,9.13
"94","AFG","IDN",13363059453.9412,32.8351764705882
"95","AFG","GBR",4826979825.2438,1.62635408901364
"96","AFG","CUB",14785447004.4286,3.63042857142857
