Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering
ABW,,,99,103,202,99,103,202,2,0.652819,0.734091,0.000106,0.046149,0.047648,0.930445
AGO,,,179,117,296,179,117,296,2,0.681115,0.765909,0.000451,0.076096,0.054701,0.805922
ANT,,,88,97,185,88,97,185,2,0.641399,0.720455,0.000049,0.041691,0.045349,0.952146
ARE,,,191,202,393,191,202,393,2,0.92437,0.959091,0.002303,0.080293,0.082987,0.744739
ARG,,,178,193,371,178,193,371,2,0.890688,0.938636,0.001577,0.076459,0.081157,0.781813
ATA,,,143,137,280,143,137,280,2,0.726073,0.811364,0.000517,0.063181,0.061197,0.854968
AUT,,,211,216,427,211,216,427,2,0.982143,0.990909,0.005092,0.084207,0.085104,0.688158
BEL,,,219,219,438,219,219,438,2,0.995475,0.997727,0.005738,0.085922,0.085472,0.679328
BEN,,,188,140,328,188,140,328,2,0.733333,0.818182,0.001226,0.078448,0.061465,0.768253
BFA,,,165,141,306,165,141,306,2,0.735786,0.820455,0.000548,0.072266,0.063575,0.850331
BGR,,,180,196,376,180,196,376,2,0.901639,0.945455,0.002046,0.076776,0.081496,0.770599
BHR,,,208,184,392,208,184,392,2,0.859375,0.918182,0.002519,0.083733,0.078124,0.713261
BHS,,,142,154,296,142,154,296,2,0.769231,0.85,0.000945,0.062504,0.067511,0.843348
BRA,,,212,212,424,212,212,424,2,0.964912,0.981818,0.004093,0.084767,0.084635,0.699419
BRB,,,174,164,338,174,164,338,2,0.797101,0.872727,0.001577,0.073076,0.070262,0.767513
CAN,,,213,213,426,213,213,426,2,0.969163,0.984091,0.004822,0.0846,0.084487,0.706041
CHE,,,217,218,435,217,218,435,2,0.990991,0.995455,0.0055,0.085512,0.085351,0.67939
CHL,,,179,198,377,179,198,377,2,0.909091,0.95,0.001872,0.076498,0.082132,0.766457
CHN,,,204,205,409,204,205,409,2,0.93617,0.965909,0.003552,0.082859,0.08348,0.741368
COL,,,201,193,394,201,193,394,2,0.890688,0.938636,0.002339,0.082396,0.081088,0.739013
CRI,,,199,187,386,199,187,386,2,0.869565,0.925,0.00261,0.08095,0.078867,0.713518
CUW,,,114,124,238,114,124,238,2,0.696203,0.781818,0.000192,0.052709,0.056368,0.911979
CZE,,,219,210,429,219,210,429,2,0.956522,0.977273,0.004691,0.085944,0.084245,0.679514
DEU,,,216,219,435,216,219,435,2,0.995475,0.997727,0.005557,0.085473,0.085484,0.67939
DMA,,,124,140,264,124,140,264,2,0.733333,0.818182,0.00034,0.056487,0.06234,0.886049
DNK,,,212,218,430,212,218,430,2,0.990991,0.995455,0.004943,0.084765,0.085371,0.683486
DOM,,,201,192,393,201,192,393,2,0.887097,0.936364,0.002806,0.081725,0.079726,0.735212
ECU,,,200,183,383,200,183,383,2,0.856031,0.915909,0.00239,0.081493,0.077674,0.724144
ESP,,,217,218,435,217,218,435,2,0.990991,0.995455,0.005349,0.085532,0.085428,0.684869
FIN,,,201,211,412,201,211,412,2,0.960699,0.979545,0.003395,0.082282,0.084528,0.704064
FRA,,,219,219,438,219,219,438,2,0.995475,0.997727,0.005871,0.085879,0.085461,0.679328
GBR,,,219,219,438,219,219,438,2,0.995475,0.997727,0.005681,0.085937,0.085436,0.679328
GRC,,,198,205,403,198,205,403,2,0.93617,0.965909,0.00305,0.081341,0.083567,0.726238
GTM,,,156,179,335,156,179,335,2,0.842912,0.906818,0.000999,0.068771,0.076812,0.805589
GUY,,,161,148,309,161,148,309,2,0.753425,0.836364,0.001153,0.068553,0.064014,0.786285
HKG,,,195,201,396,195,201,396,2,0.920502,0.956818,0.002704,0.080619,0.082467,0.755323
HND,,,145,160,305,145,160,305,2,0.785714,0.863636,0.000457,0.065414,0.071363,0.867123
HRV,,,201,199,400,201,199,400,2,0.912863,0.952273,0.002838,0.082149,0.08219,0.721326
IDN,,,211,212,423,211,212,423,2,0.964912,0.981818,0.003892,0.084784,0.084669,0.713571
IND,,,215,215,430,215,215,430,2,0.977778,0.988636,0.004608,0.08539,0.084989,0.698773
